,專利權人,專利件數,他人引證次數,自我引證次數,發明人數,平均專利年齡,活動年期,相對研發能力,國家,時期,indegree,closeness,betweenness,harmonic,eigenvector,katz,pagerank,laplacian,position_class
0,ASML NETHERLANDS,349,18,42,505,16,5,1.0,NL,2004_2008,0.12,0.1669565217391304,0.0357142857142857,11.9,0.5307683247385814,0.2107038465245042,0.0878631636255825,0.0947191582351518,largest community
1,SEIKO EPSON,131,12,7,152,16,5,0.36,JP,2004_2008,0.12,0.1469565217391304,0.0771428571428571,9.000000000000002,3.955277032516423e-05,0.2000953428194403,0.0829847460152631,0.0882338956177945,other community
2,CANON,122,7,2,138,16,5,0.32,JP,2004_2008,0.1,0.1986206896551724,0.0361224489795918,12.566666666666668,0.2824634236137193,0.2018200021534127,0.0724668354703653,0.0723384766504491,other community
3,NIKON,72,4,7,95,16,5,0.2,JP,2004_2008,0.06,0.1669565217391304,0.0216326530612244,10.233333333333333,0.2824238708433931,0.1688500795751417,0.0293359959301686,0.0504961300560746,largest community
4,MAXELL,39,8,3,53,17,5,0.11,JP,2004_2008,0.1,0.1609523809523809,0.0416326530612244,9.0,6.399772673533396e-05,0.1962590629011347,0.0579361572851833,0.0711610271813724,other community
5,SAMSUNG ELECTRONICS,39,1,0,70,16,4,0.11,KR,2004_2008,0.02,0.0994117647058823,0.0216326530612244,5.749999999999999,2.4444956410169728e-05,0.1403224921566522,0.0144825948998118,0.0428854067534916,largest community
6,FUJIFILM,39,2,2,49,16,4,0.1,JP,2004_2008,0.02,0.1506024096385542,0.0,8.816666666666665,0.1502909506640683,0.1404949400912306,0.0279602183044509,0.0633462426585946,other community
7,SHARP NEC DISPLAY SOLUTIONS,27,21,6,30,16,4,0.09,JP,2004_2008,0.1,0.1383783783783783,0.0324489795918367,9.083333333333334,3.955277032568002e-05,0.1903511864297047,0.0677443438645381,0.0745906797010979,other community
8,CARL ZEISS SMT,26,1,0,76,15,4,0.08,DE,2004_2008,0.02,0.0816666666666666,0.0026530612244897,4.8500000000000005,1.5107813914994507e-05,0.1343452079806893,0.0105064433971161,0.038904955222259,largest community
9,HEWLETT-PACKARD DEVELOPMENT,21,0,0,58,17,5,0.06,US,2004_2008,0.0,0.0,0.0,0.0,3.19984738791617e-40,0.1203129601726857,0.007428872940026,0.0335782533606098,other community
