,0,1,2,3
period,2004_2008,2009_2013,2014_2018,2019_2022
node_num,51,88,72,42
edge_num,57,364,153,45
graph_density,0.02235294117647059,0.04754440961337513,0.02992957746478873,0.02613240418118467
bidirected_num,10,146,48,12
triad_030T_num,5,79,34,6
triad_030C_num,0,20,3,3
wcc_num,14,11,15,19
largest_wcc_node_num,36,77,49,24
largest_wcc_edge_num,55,363,136,45
diameter_undirected_largest_wcc,7,5,6,6
gcc,0.1736842105263158,0.4454216244180031,0.3643979057591623,0.29508196721311475
power_law_alpha,2.7078903123451883,8.232496370955664,2.450716873467061,3.0921767724926235
